id,submitdate,KL_codiert,MBGs,KRS,Gruppe,TPB_Mean,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B5,B6,B7,B8_invert,B9_invert,B10,interviewtime,Zeit,Zeit_min,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,KL,fehlend,AT2,B3,B4,B8,B9,B3_invert,B4_invert,filter_$
11,2023-05-08T07:50:21Z,9,0,0,0,1.675,1.25,1,1,2,1,1,1,1,1,2,2,3,1,2.5,2,3,1.625,3,1,1,1,1,3,2,1,09:23:51,563.85,9.3975,PRB2,PRB4,PRB5,PRB3,PRB1,PRB6,PRB7,A5,0,2,2,2,0,1,1,1,1
63,2023-05-09T10:02:42Z,10,0,0,0,1.7333333333333336,1.5,2,1,2,1,1,0,2,1,1.6666666666666667,1,2,2,2.5,2,3,2,2,2,NA,3,1,1,3,2,07:56:33,476.55,7.9425,PRB2,PRB6,PRB5,PRB7,PRB3,PRB4,PRB1,A6,1,2,2,3,2,0,1,0,1
65,2023-05-09T10:03:06Z,10,0,0,0,1.7833333333333337,3,3,3,3,3,1.6666666666666667,3,2,0,1,3,0,0,2,3,1,1.25,0,2,1,1,1,3,2,0,08:05:08,485.1333333333333,8.085555555555555,PRB2,PRB4,PRB6,PRB3,PRB7,PRB1,PRB5,A6,0,0,1,2,0,1,2,1,1
101,2023-05-09T11:28:26Z,7,0,0,0,1.85,2.75,3,3,3,2,1,1,1,NA,1.6666666666666667,1,2,2,2,2,2,1.8333333333333333,2,1,NA,2,2,2,2,NA,08:02:11,482.18333333333334,8.036388888888888,PRB2,PRB5,PRB4,PRB3,PRB6,PRB7,PRB1,A3,4,0,3,NA,1,1,0,NA,0
14,2023-05-08T07:47:26Z,9,0,0,0,1.8976190476190475,2.25,2,3,2,2,1.3333333333333333,2,1,1,1.3333333333333333,1,2,1,2,2,2,2.5714285714285716,3,2,2,3,3,3,2,NA,07:46:19,466.31666666666666,7.771944444444444,PRB5,PRB2,PRB6,PRB4,PRB3,PRB1,PRB7,A5,1,0,2,2,0,1,1,1,1
13,2023-05-08T07:46:22Z,9,0,0,0,1.925,2.5,3,2,2,3,1,1,1,NA,2,1,3,2,2,2,2,2.125,2,1,2,3,3,3,2,1,06:50:13,410.21666666666664,6.836944444444444,PRB6,PRB2,PRB5,PRB1,PRB3,PRB4,PRB7,A5,1,1,2,0,0,1,1,3,1
17,2023-05-08T07:51:27Z,9,0,0,0,1.975,2,2,3,2,1,1.6666666666666667,2,2,1,2.3333333333333335,2,3,2,1.5,1,2,2.375,2,1,1,3,3,3,3,3,11:21:28,681.4666666666667,11.357777777777779,PRB4,PRB1,PRB6,PRB3,PRB5,PRB2,PRB7,A5,0,0,0,2,0,0,3,1,1
102,2023-05-09T11:28:47Z,7,0,0,0,2,2.3333333333333335,NA,3,2,2,1,2,0,NA,2.3333333333333335,2,3,2,2,1,3,2.3333333333333335,3,1,NA,3,1,3,3,NA,08:24:22,504.3666666666667,8.40611111111111,PRB4,PRB2,PRB5,PRB6,PRB3,PRB7,PRB1,A3,5,0,3,NA,0,0,0,NA,0
78,2023-05-09T10:47:41Z,9,0,0,0,2.033333333333333,2.25,2,3,2,2,1.3333333333333333,2,1,1,2.3333333333333335,2,3,2,2,2,2,2.25,2,3,3,3,2,2,2,1,09:36:38,576.6333333333333,9.610555555555555,PRB4,PRB5,PRB2,PRB6,PRB1,PRB3,PRB7,A5,0,0,1,3,1,1,2,0,1
64,2023-05-09T10:01:42Z,10,0,0,0,2.1,3,3,3,3,NA,1.3333333333333333,2,1,1,1.3333333333333333,1,2,1,3,3,3,1.8333333333333333,1,2,NA,3,2,1,2,NA,06:55:09,415.15,6.9191666666666665,PRB6,PRB2,PRB5,PRB4,PRB1,PRB7,PRB3,A6,3,0,3,3,2,1,0,0,1
10,2023-05-08T07:55:21Z,9,0,0,0,2.166666666666667,3,3,3,3,3,1.6666666666666667,2,2,1,2,2,2,2,2,2,2,2.1666666666666665,3,2,NA,2,2,2,2,NA,14:09:24,849.4,14.156666666666666,PRB4,PRB6,PRB7,PRB2,PRB3,PRB5,PRB1,A5,5,0,3,NA,1,1,0,NA,1
68,2023-05-09T10:01:10Z,10,0,0,0,2.175,2.75,3,3,3,2,2,3,1,2,1,1,2,0,2.5,2,3,2.625,2,2,2,3,3,3,3,3,06:02:12,362.2,6.036666666666666,PRB6,PRB4,PRB5,PRB1,PRB3,PRB7,PRB2,A6,0,0,1,1,0,0,2,2,1
