id,datestamp,L,KL,GymReal,MBGs,KRS,Gruppe,TPB_Mean,MITTELWERT,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B4_invert,B5,B6,B7,B8_invert,B9_invert,B10,PROB1_codiert,PROB2_codiert,PROB3_codiert,PROB4_codiert,PROB5_codiert,PROB6_codiert,PROB7_codiert,AT2,B3,B4,B8,B9,interviewtime,Zeit,Zeit_min,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,filter_$,ü25,PrePost,B3_invert
144,2023-05-10T08:25:43Z,0,10,1,0,0,0,1.95,1.954545455,2.25,2,3,2,2,1.666666667,2,1,2,1.333333333,1,2,1,2.5,2,3,2,3,2,2,2,3,0,3,2,1,2,6,3,1,4,5,7,0,1,1,0,1,07:51:31,471.5166667,7.858611111,PRB2,PRB6,PRB3,PRB1,PRB4,PRB5,PRB7,0,0,1,2
126,2023-05-10T08:25:26Z,0,10,1,0,0,0,2.144444444,2.090909091,2.5,2,3,3,2,2,2,1,3,2,1,3,2,2,2,2,2.222222222,2,3,2,1,3,1,3,3,2,4,2,1,6,7,3,5,0,3,1,0,0,07:53:57,473.95,7.899166667,PRB4,PRB2,PRB1,PRB6,PRB7,PRB3,PRB5,0,0,1,0
159,2023-05-10T08:34:05Z,0,10,1,0,0,0,2.016666667,2.052631579,2.666666667,2,3,3,NA,0.666666667,1,1,0,2,NA,2,2,2.5,2,3,2.25,3,2,1,1,2,3,3,3,NA,2,7,4,1,3,6,5,0,1,2,0,0,07:56:44,476.7333333,7.945555556,PRB2,PRB7,PRB4,PRB1,PRB3,PRB6,PRB5,0,3,1,2
96,2023-05-10T08:11:59Z,0,9,1,0,0,0,1.972222222,1.909090909,2.25,2,3,2,2,1.333333333,1,1,2,2,2,2,2,2.5,3,2,1.777777778,2,2,2,1,2,2,2,2,1,4,1,2,6,3,5,7,0,1,1,1,1,07:58:04,478.0666667,7.967777778,PRB4,PRB1,PRB2,PRB6,PRB3,PRB5,PRB7,0,0,1,2
111,2023-05-10T08:20:08Z,0,10,1,0,0,0,1.316666667,1.5,1.75,2,2,3,0,0.666666667,1,0,1,1,0,2,1,1.5,2,1,1.666666667,1,2,0,1,3,1,3,3,1,2,5,6,3,7,1,4,1,0,3,0,0,08:09:46,489.7666667,8.162777778,PRB2,PRB5,PRB6,PRB3,PRB7,PRB1,PRB4,0,0,0,3
168,2023-05-10T08:34:26Z,0,10,1,0,0,0,1.575,1.571428571,2.25,2,2,3,2,0.666666667,1,0,1,1.333333333,1,2,1,2,2,2,1.625,0,2,1,1,3,0,3,3,NA,6,1,4,2,3,5,7,1,2,2,0,0,08:10:39,490.65,8.1775,PRB6,PRB1,PRB4,PRB2,PRB3,PRB5,PRB7,0,1,1,1
109,2023-05-10T08:20:09Z,0,10,1,1,1,2,2.733333333,2.545454545,3,3,3,3,3,2.333333333,2,2,3,2.666666667,3,3,2,3,3,3,2.666666667,3,3,1,3,3,3,3,2,3,4,6,3,2,7,1,5,0,1,2,1,1,08:17:09,497.15,8.285833333,PRB4,PRB6,PRB3,PRB2,PRB7,PRB1,PRB5,0,0,1,2
117,2023-05-10T08:20:30Z,0,10,1,1,0,1,2.345238095,2.25,2.25,2,3,2,2,2,2,2,2,2.333333333,1,3,3,3,3,3,2.142857143,NA,2,1,NA,3,3,1,3,2,2,5,4,3,7,6,1,0,1,2,2,0,08:17:44,497.7333333,8.295555556,PRB2,PRB5,PRB4,PRB3,PRB7,PRB6,PRB1,1,2,2,2
152,2023-05-10T08:34:27Z,0,10,1,0,0,0,2.038888889,2.045454545,2.75,3,3,3,2,1,1,1,1,2.333333333,2,3,2,2,2,2,2.111111111,3,2,2,2,3,2,2,2,1,4,7,6,2,3,1,5,0,2,1,1,1,08:25:18,505.3,8.421666667,PRB4,PRB7,PRB6,PRB2,PRB3,PRB1,PRB5,0,0,1,1
80,2023-05-10T08:12:25Z,0,7,1,1,0,1,2.422222222,2.272727273,3,3,3,3,3,1.666666667,2,2,1,2.333333333,2,3,2,3,3,3,2.111111111,2,3,1,2,2,1,3,3,2,4,6,1,5,2,7,3,0,2,2,0,0,08:26:36,506.6,8.443333333,PRB4,PRB6,PRB1,PRB5,PRB2,PRB7,PRB3,1,0,1,1
200,2023-05-16T08:59:03Z,0,9,1,1,0,1,1.822222222,1.818181818,2,2,2,2,2,1.333333333,1,1,2,2,2,2,2,2,2,2,1.777777778,1,2,1,2,2,3,2,2,1,2,6,4,5,1,7,3,1,1,2,1,1,08:26:36,506.6,8.443333333,PRB2,PRB6,PRB4,PRB5,PRB1,PRB7,PRB3,1,0,1,2
155,2023-05-10T08:34:36Z,0,10,1,0,0,0,1.622222222,1.590909091,2,2,3,2,1,1,1,0,2,1.666666667,2,2,1,2,2,2,1.444444444,0,2,2,1,2,1,2,2,1,7,4,6,5,3,1,2,0,1,1,1,1,08:29:42,509.7,8.495,PRB7,PRB4,PRB6,PRB5,PRB3,PRB1,PRB2,0,0,0,2
87,2023-05-10T08:12:17Z,0,9,1,0,0,0,2.061111111,1.863636364,2.75,3,3,3,2,1.666666667,1,2,2,1.333333333,1,2,1,3,3,3,1.555555556,3,1,0,1,3,2,1,2,1,2,6,4,3,1,7,5,0,2,3,2,1,08:41:14,521.2333333,8.687222222,PRB2,PRB6,PRB4,PRB3,PRB1,PRB7,PRB5,0,0,1,1
113,2023-05-10T08:20:54Z,0,10,1,0,0,0,1.477777778,1.363636364,2,2,3,2,1,2,1,2,3,1,1,0,2,1.5,1,2,0.888888889,0,0,1,1,3,0,2,1,0,2,5,4,1,3,6,7,0,1,2,1,2,08:50:44,530.7333333,8.845555556,PRB2,PRB5,PRB4,PRB1,PRB3,PRB6,PRB7,0,0,0,2
86,2023-05-10T08:12:25Z,0,9,1,0,0,0,2.233333333,2.1,2.75,3,3,3,2,2,2,1,3,1.666666667,2,2,1,3,3,3,1.75,0,3,0,NA,2,1,3,2,3,4,2,3,6,1,5,7,0,NA,3,0,1,08:51:04,531.0666667,8.851111111,PRB4,PRB2,PRB3,PRB6,PRB1,PRB5,PRB7,0,2,1,NA
132,2023-05-10T08:26:32Z,0,10,1,0,0,0,2.10952381,1.95,3,3,3,3,3,1.333333333,1,1,2,2,2,2,2,2.5,2,3,1.714285714,3,1,0,NA,3,1,2,2,NA,4,1,2,6,3,5,7,0,3,3,1,1,08:52:56,532.9333333,8.882222222,PRB4,PRB1,PRB2,PRB6,PRB3,PRB5,PRB7,0,2,1,0
160,2023-05-10T08:35:08Z,0,10,1,0,0,0,2.116666667,2,2.75,2,3,3,3,0.666666667,1,0,1,2.666666667,3,3,2,2.5,2,3,2,3,2,0,NA,3,3,1,2,NA,2,5,3,4,6,1,7,0,3,3,2,1,08:59:26,539.4333333,8.990555556,PRB2,PRB5,PRB3,PRB4,PRB6,PRB1,PRB7,0,2,1,0
128,2023-05-10T08:26:53Z,0,10,1,0,0,0,2.083333333,2.052631579,2.25,2,3,2,2,1.333333333,2,1,1,2,1,3,2,2.5,2,3,2.333333333,3,1,NA,NA,3,2,2,3,NA,4,6,2,3,5,1,7,0,2,NA,1,0,09:16:11,556.1833333,9.269722222,PRB4,PRB6,PRB2,PRB3,PRB5,PRB1,PRB7,0,3,1,1
173,2023-05-10T08:35:50Z,0,10,1,0,0,0,1.277777778,1.181818182,1.5,1,3,1,1,0.666666667,2,0,0,1.333333333,1,2,1,2,2,2,0.888888889,0,0,1,0,2,1,1,2,1,6,5,2,3,7,1,4,0,1,2,2,1,09:17:01,557.0166667,9.283611111,PRB6,PRB5,PRB2,PRB3,PRB7,PRB1,PRB4,0,0,0,2
183,2023-05-10T10:07:14Z,0,9,2,0,0,0,1.65,1.636363636,2.25,2,3,2,2,1,1,1,1,1.333333333,1,2,1,2,2,2,1.666666667,2,1,1,1,2,1,3,2,2,1,4,2,6,5,3,7,0,2,2,0,1,09:29:05,569.0833333,9.484722222,PRB1,PRB4,PRB2,PRB6,PRB5,PRB3,PRB7,0,0,1,1
93,2023-05-10T08:13:31Z,0,9,1,0,0,0,2.661111111,2.409090909,2.75,3,2,3,3,2.666666667,3,2,3,2.666666667,3,3,2,3,3,3,2.222222222,3,2,1,2,3,2,3,2,2,4,5,6,1,2,7,3,1,3,2,0,1,09:37:02,577.0333333,9.617222222,PRB4,PRB5,PRB6,PRB1,PRB2,PRB7,PRB3,0,0,1,0
130,2023-05-10T08:27:25Z,0,10,1,0,1,2,2.466666667,2.35,3,3,3,3,3,2,3,1,NA,2.333333333,2,3,2,3,3,3,2,3,1,NA,2,2,2,2,2,2,2,4,1,3,5,6,7,0,1,NA,1,1,09:46:06,586.1,9.768333333,PRB2,PRB4,PRB1,PRB3,PRB5,PRB6,PRB7,0,2,1,2
